taxon_oid	Genome.Name	Status	Domain	Taxon.Object.ID	NCBI.Taxon.ID	Phylum	Class	Gene.Count	GC	Genome.Size
641228474	Acaryochloris marina MBIC11017	Finished	Bacteria	641228474	329726	Cyanobacteria	unclassified	8488	0.47	8361599
649633033	Acetoanaerobium sticklandii DSM 519	Finished	Bacteria	649633033	1511	Firmicutes	Clostridia	2688	0.33	2715461
2675903422	Acetobacter ghanensis LMG 23848	Finished	Bacteria	2675903422	431306	Proteobacteria	Alphaproteobacteria	2791	0.57	2843936
2561511215	Acetobacter pasteurianus 386B	Finished	Bacteria	2561511215	1266844	Proteobacteria	Alphaproteobacteria	2942	0.53	3078647
2634166445	Acetobacter pasteurianus Ab3	Finished	Bacteria	2634166445	438	Proteobacteria	Alphaproteobacteria	2746	0.53	2806148
644736321	Acetobacter pasteurianus IFO 3283-01	Finished	Bacteria	644736321	634452	Proteobacteria	Alphaproteobacteria	3122	0.53	3340249
646862301	Acetobacter pasteurianus IFO 3283-01-42C	Finished	Bacteria	646862301	634458	Proteobacteria	Alphaproteobacteria	3050	0.53	3247995
646862302	Acetobacter pasteurianus IFO 3283-03	Finished	Bacteria	646862302	634453	Proteobacteria	Alphaproteobacteria	3120	0.53	3339669
646862303	Acetobacter pasteurianus IFO 3283-07	Finished	Bacteria	646862303	634454	Proteobacteria	Alphaproteobacteria	3119	0.53	3338426
646862304	Acetobacter pasteurianus IFO 3283-12	Finished	Bacteria	646862304	634459	Proteobacteria	Alphaproteobacteria	3118	0.53	3336990
646862305	Acetobacter pasteurianus IFO 3283-22	Finished	Bacteria	646862305	634455	Proteobacteria	Alphaproteobacteria	3120	0.53	3339649
646862306	Acetobacter pasteurianus IFO 3283-26	Finished	Bacteria	646862306	634456	Proteobacteria	Alphaproteobacteria	3120	0.53	3339683
646862307	Acetobacter pasteurianus IFO 3283-32	Finished	Bacteria	646862307	634457	Proteobacteria	Alphaproteobacteria	3118	0.53	3337040
2684622587	Acetobacter senegalensis 108B	Finished	Bacteria	2684622587	446692	Proteobacteria	Alphaproteobacteria	3798	0.56	3969909
2512047040	Acetobacterium woodii WB1, DSM 1030	Finished	Bacteria	2512047040	931626	Firmicutes	Clostridia	3561	0.39	4044777
648028002	Acetohalobium arabaticum Z-7288, DSM 5501	Finished	Bacteria	648028002	574087	Firmicutes	Clostridia	2438	0.37	2469596
2509601011	Acetomicrobium mobile DSM 13181	Finished	Bacteria	2509601011	891968	Synergistetes	Synergistia	2109	0.48	2160700
2619619113	Acholeplasma brassicae 0502	Finished	Bacteria	2619619113	1318465	Tenericutes	Mollicutes	1760	0.36	1877792
641522601	Acholeplasma laidlawii PG-8A	Finished	Bacteria	641522601	441768	Tenericutes	Mollicutes	1422	0.32	1496992
2619619111	Acholeplasma oculi 19L, ATCC 27350	Finished	Bacteria	2619619111	35623	Tenericutes	Mollicutes	1497	0.31	1587120
2619619112	Acholeplasma palmae J233	Finished	Bacteria	2619619112	1318466	Tenericutes	Mollicutes	1491	0.29	1554229
2718217926	Achromobacter denitrificans USDA-ARS-USMARC-56712	Finished	Bacteria	2718217926	32002	Proteobacteria	Betaproteobacteria	5648	0.68	6226215
649633001	Achromobacter xylosoxidans A8	Finished	Bacteria	649633001	762376	Proteobacteria	Betaproteobacteria	6885	0.66	7359146
2630968839	Achromobacter xylosoxidans C54	Finished	Bacteria	2630968839	562971	Proteobacteria	Betaproteobacteria	5626	0.68	6131060
2721755545	Achromobacter xylosoxidans FDAARGOS_147	Finished	Bacteria	2721755545	85698	Proteobacteria	Betaproteobacteria	6436	0.68	6886404
2718218011	Achromobacter xylosoxidans FDAARGOS_150	Finished	Bacteria	2718218011	85698	Proteobacteria	Betaproteobacteria	7095	0.68	6263082
2728369360	Achromobacter xylosoxidans FDAARGOS_162	Finished	Bacteria	2728369360	85698	Proteobacteria	Betaproteobacteria	6492	0.68	6563931
2654587748	Achromobacter xylosoxidans MN001	Finished	Bacteria	2654587748	85698	Proteobacteria	Betaproteobacteria	5333	0.68	5876049
2558309085	Achromobacter xylosoxidans NBRC 15126, ATCC 27061	Finished	Bacteria	2558309085	1216976	Proteobacteria	Betaproteobacteria	6146	0.68	6683584
2667527485	Achromobacter xylosoxidans NCTC10807	Finished	Bacteria	2667527485	85698	Proteobacteria	Betaproteobacteria	6229	0.67	6813182
2554235314	Achromobacter xylosoxidans NH44784-1996	Finished	Bacteria	2554235314	1167634	Proteobacteria	Betaproteobacteria	6446	0.67	6916670
646311901	Acidaminococcus fermentans VR4, DSM 20731	Finished	Bacteria	646311901	591001	Firmicutes	Negativicutes	2174	0.56	2329769
2511231106	Acidaminococcus intestini RyC-MR95	Finished	Bacteria	2511231106	568816	Firmicutes	Negativicutes	2469	0.5	2487765
650716001	Acidianus hospitalis W1	Finished	Archaea	650716001	933801	Crenarchaeota	Thermoprotei	2404	0.34	2137654
2740892001	Acidianus manzaensis YN-25	Finished	Archaea	2740892001	282676	Crenarchaeota	Thermoprotei	2823	0.31	2687463
2721755456	Acidihalobacter prosperus F5	Finished	Bacteria	2721755456	160660	Proteobacteria	Gammaproteobacteria	3598	0.6	3566941
2718218021	Acidihalobacter prosperus V6	Finished	Bacteria	2718218021	160660	Proteobacteria	Gammaproteobacteria	3403	0.62	3526118
648028003	Acidilobus saccharovorans 345-15	Finished	Archaea	648028003	666510	Crenarchaeota	Thermoprotei	1547	0.57	1496453
644736322	Acidimicrobium ferrooxidans ICP, DSM 10331	Finished	Bacteria	644736322	525909	Actinobacteria	Acidimicrobiia	2092	0.68	2158157
640427101	Acidiphilium cryptum JF-5	Finished	Bacteria	640427101	349163	Proteobacteria	Alphaproteobacteria	3701	0.67	3963080
